"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
caleb,,FALSE
,,FALSE
,,FALSE
caleb,password,FALSE
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
caleb,,FALSE
,,FALSE
,,FALSE
caleb,password,FALSE
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
"sKiPtHiS!@#		",,
BOB,PSWDBOB,TRUE
KAKA,PSWDKAKA,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
john,chang,FALSE
,,FALSE
,,FALSE
john,chang,FALSE
john2,chang,FALSE
john,chang,FALSE,
Caleb,Password,FALSE,
